"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2013 in 1000 USD ","2014 in 1000 USD ","2015 in 1000 USD ","2016 in 1000 USD "
"H4","ARG","030389","Argentina","WLD"," World","Export",6,111860.732,101013.981,89153.614,87240.609
"H4","ARG","030390","Argentina","WLD"," World","Export",6,95.858,53.512,36.759,19.218
"H4","ARG","030442","Argentina","WLD"," World","Export",6,,0.373,36.859,123.092
"H4","ARG","030444","Argentina","WLD"," World","Export",6,1264.124,1456.072,689.638,1079.376
"H4","ARG","030449","Argentina","WLD"," World","Export",6,626.193,133.364,20.932,14.825
"H4","ARG","030452","Argentina","WLD"," World","Export",6,,,16.618,72.911
"H4","ARG","030453","Argentina","WLD"," World","Export",6,74.244,23.539,7.675,10.636
"H4","ARG","030459","Argentina","WLD"," World","Export",6,19.824,,,0.851
"H4","ARG","030469","Argentina","WLD"," World","Export",6,73.049,76.818,37.023,41.517
"H4","ARG","030474","Argentina","WLD"," World","Export",6,205774.326,209959.005,171173.845,170920.265
"H4","ARG","030479","Argentina","WLD"," World","Export",6,19362.365,19338.289,13085.708,12163.517
"H4","ARG","030481","Argentina","WLD"," World","Export",6,0.569,3.184,8.788,9.183
"H4","ARG","030482","Argentina","WLD"," World","Export",6,167.801,123.534,289.612,289.442
"H4","ARG","030485","Argentina","WLD"," World","Export",6,0.981,,451.49,
"H4","ARG","030487","Argentina","WLD"," World","Export",6,0.739,1.263,1.512,1.309
"H4","ARG","030489","Argentina","WLD"," World","Export",6,34325.758,31263.03,27489.568,25738.068
"H4","ARG","030492","Argentina","WLD"," World","Export",6,350.596,419.147,255.478,520.003
"H4","ARG","030495","Argentina","WLD"," World","Export",6,20469.149,19099.781,27948.717,25959.904
"H4","ARG","030499","Argentina","WLD"," World","Export",6,1716.742,1262.259,298.682,27.037
"H4","ARG","030510","Argentina","WLD"," World","Export",6,21.7,34.9,9,7.5
"H4","ARG","030539","Argentina","WLD"," World","Export",6,1013.612,604.036,141.77,675.922
"H4","ARG","030541","Argentina","WLD"," World","Export",6,,0.297,0.97,0.158
"H4","ARG","030543","Argentina","WLD"," World","Export",6,,,0.128,
"H4","ARG","030549","Argentina","WLD"," World","Export",6,,0.13,,
"H4","ARG","030559","Argentina","WLD"," World","Export",6,512.036,559.394,201.206,268.151
"H4","ARG","030563","Argentina","WLD"," World","Export",6,13417.674,15652.049,12611.435,14507.268
"H4","ARG","030571","Argentina","WLD"," World","Export",6,48.72,,,
"H4","ARG","030572","Argentina","WLD"," World","Export",6,3.2,,,
"H4","ARG","030614","Argentina","WLD"," World","Export",6,19499.275,17020.006,16447.644,15526.48
"H4","ARG","030616","Argentina","WLD"," World","Export",6,97.252,9.606,23.701,
"H4","ARG","030617","Argentina","WLD"," World","Export",6,616134.804,759806.655,763760.116,1002815.475
"H4","ARG","030627","Argentina","WLD"," World","Export",6,,,2.976,
"H4","ARG","030711","Argentina","WLD"," World","Export",6,,,0.081,
"H4","ARG","030719","Argentina","WLD"," World","Export",6,,,,0.09
"H4","ARG","030729","Argentina","WLD"," World","Export",6,47585.735,54208.406,49392.972,55894.109
"H4","ARG","030739","Argentina","WLD"," World","Export",6,0.924,2.635,5.096,4.967
"H4","ARG","030749","Argentina","WLD"," World","Export",6,12.088,5.186,6.227,14.166
"H4","ARG","030759","Argentina","WLD"," World","Export",6,0.072,0.61,4.798,4.037
"H4","ARG","030779","Argentina","WLD"," World","Export",6,,0.464,0.51,0.324
"H4","ARG","030791","Argentina","WLD"," World","Export",6,39.071,,21.116,47.199
"H4","ARG","030799","Argentina","WLD"," World","Export",6,235848.452,164919.573,104201.985,94596.761
"H4","ARG","040110","Argentina","WLD"," World","Export",6,32.926,12.605,16.766,33.654
"H4","ARG","040120","Argentina","WLD"," World","Export",6,3042.028,2721.801,1686.462,735.737
"H4","ARG","040150","Argentina","WLD"," World","Export",6,145.077,115.502,144.884,86.247
"H4","ARG","040210","Argentina","WLD"," World","Export",6,106724.894,92275.189,62144.33,57283.35
"H4","ARG","040221","Argentina","WLD"," World","Export",6,845678.489,713530.14,496027.237,294335.541
"H4","ARG","040310","Argentina","WLD"," World","Export",6,5188.206,3928.222,4730.511,2853.059
"H4","ARG","040390","Argentina","WLD"," World","Export",6,1012.501,659.053,529.777,628.355
"H4","ARG","040410","Argentina","WLD"," World","Export",6,140379.245,133621.77,83364.536,61549.07
"H4","ARG","040490","Argentina","WLD"," World","Export",6,12411.85,8899.585,6487.635,5545.271
"H4","ARG","040510","Argentina","WLD"," World","Export",6,54564.825,45305.89,25940.594,15242.985
"H4","ARG","040590","Argentina","WLD"," World","Export",6,24795.771,17909.548,4792.137,6518.068
"H4","ARG","040610","Argentina","WLD"," World","Export",6,110012.66,99782.014,62695.875,93980.394
"H4","ARG","040620","Argentina","WLD"," World","Export",6,9282.637,9139.289,7531.15,6307.571
