Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,EFTA,450390,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,3250.513,3999.265,2963.332,2421.485
H4,EFTA,450410,"- Blocks, plates, sheets and strip;",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,12828.393,13880.769,12820.517,13822.306
H4,EFTA,450490,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2688.4,3601.995,2820.726,2881.299
H4,EFTA,460121,-- of Bamboo,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,549.812,541.283,507.689,427.597
H4,EFTA,460122,-- of rattan,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,53.513,27.833,36.69,48.004
H4,EFTA,460129,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1572.888,1484.671,1673.675,1429.627
H4,EFTA,460192,-- of Bamboo,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,271.641,320.469,208.533,174.571
H4,EFTA,460193,-- of rattan,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,80.697,34.049,86.767,32.72
H4,EFTA,460194,-- of Other vegetable materials,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,399.172,385.589,353.213,395.297
H4,EFTA,460199,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1527.289,982.585,869.387,917.382
H4,EFTA,460211,-- of Bamboo,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,3967.919,3159.693,2325.572,2264.206
H4,EFTA,460212,-- of rattan,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,5272.194,5256.068,5090.523,5019.3
H4,EFTA,460219,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,17517.511,18323.717,16780.751,16191.549
H4,EFTA,460290,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,5773.117,4627.64,4980.299,5749.856
H4,EFTA,470100,Mechanical wood pulp.,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1108.76,351.299,536.456,399.443
H4,EFTA,470200,"Chemical wood pulp, dissolving grad",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,40.976,41.359,162.375,343.527
H4,EFTA,470311,-- Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,17024.947,17211.968,16186.926,16023.02
H4,EFTA,470319,-- Non-Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,83.834,21.033,,0.178
H4,EFTA,470321,-- Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,87311.963,111821.34,96585.231,81197.134
H4,EFTA,470329,-- Non-Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,42640.073,41917.912,42415.788,27958.825
H4,EFTA,470411,-- Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,60.484,65.424,82.979,84.74
H4,EFTA,470421,-- Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,7883.804,6394.792,6955.69,7286.555
H4,EFTA,470429,-- Non-Coniferous,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1777.512,1920.359,1382.688,1806.833
H4,EFTA,470500,Wood pulp obtained by a combination,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1436.263,1765.319,1297.676,424.546
H4,EFTA,470610,- Cotton linters pulp,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,6154.912,5299.795,6431.748,6735.872
H4,EFTA,470620,- Pulps of fibres derived from reco,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,6246.749,8335.923,3415.149,5250.5
H4,EFTA,470630,"- Other, of Bamboo",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,183.662,91.247,87.497,119.123
