Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,ARG,30324,"-- Catfish (Pangasius spp., Silurus",Argentina,WLD, World,Export,6,,,7.602,
H4,ARG,30325,"-- Carp (Cyprinus carpio, Carassius",Argentina,WLD, World,Export,6,91.47,137.154,27.92,0.294
H4,ARG,30333,-- Sole (Solea spp.),Argentina,WLD, World,Export,6,0.648,,,
H4,ARG,30339,-- Other,Argentina,WLD, World,Export,6,,11.96,,
H4,ARG,30345,-- Atlantic and Pacific bluefin tun,Argentina,WLD, World,Export,6,0.06,0.029,,
H4,ARG,30354,"-- Mackerel (Scomber scombrus, Scom",Argentina,WLD, World,Export,6,3713.316,622.428,11.71,283.902
H4,ARG,30366,"-- Hake (Merluccius spp., Urophycis",Argentina,WLD, World,Export,6,69660.526,69639.002,62626.115,65397.515
H4,ARG,30368,-- Blue whitings (Micromesistius po,Argentina,WLD, World,Export,6,112.755,154.977,362.506,424.741
H4,ARG,30369,-- Other,Argentina,WLD, World,Export,6,8211.495,10048.579,12224.894,7037.584
H4,ARG,30381,-- Dogfish and Other sharks,Argentina,WLD, World,Export,6,210.292,240.869,149.735,231.701
H4,ARG,30382,-- Rays and skates (Rajidae),Argentina,WLD, World,Export,6,18973.489,20660.826,27972.095,23059.046
H4,ARG,30383,-- Toothfish (Dissostichus spp.),Argentina,WLD, World,Export,6,40179.172,50666.665,50213.955,67444.934
H4,ARG,30389,-- Other,Argentina,WLD, World,Export,6,111860.732,101013.981,89153.614,87240.609
H4,ARG,30390,- Livers and roes,Argentina,WLD, World,Export,6,95.858,53.512,36.759,19.218
H4,ARG,30442,"-- Trout (Salmo trutta, Oncorhynchu",Argentina,WLD, World,Export,6,,0.373,36.859,123.092
H4,ARG,30444,-- Fish of the families Bregmacerot,Argentina,WLD, World,Export,6,1264.124,1456.072,689.638,1079.376
H4,ARG,30449,-- Other,Argentina,WLD, World,Export,6,626.193,133.364,20.932,14.825
H4,ARG,30452,-- Salmonidae,Argentina,WLD, World,Export,6,,,16.618,72.911
H4,ARG,30453,-- Fish of the families Bregmacerot,Argentina,WLD, World,Export,6,74.244,23.539,7.675,10.636
H4,ARG,30459,-- Other,Argentina,WLD, World,Export,6,19.824,,,0.851
H4,ARG,30469,-- Other,Argentina,WLD, World,Export,6,73.049,76.818,37.023,41.517
H4,ARG,30474,"-- Hake (Merluccius spp., Urophycis",Argentina,WLD, World,Export,6,205774.326,209959.005,171173.845,170920.265
H4,ARG,30479,-- Other,Argentina,WLD, World,Export,6,19362.365,19338.289,13085.708,12163.517
H4,ARG,30481,-- Pacific salmon (Oncorhynchus ner,Argentina,WLD, World,Export,6,0.569,3.184,8.788,9.183
H4,ARG,30482,"-- Trout (Salmo trutta, Oncorhynchu",Argentina,WLD, World,Export,6,167.801,123.534,289.612,289.442
H4,ARG,30485,-- Toothfish (Dissostichus spp.),Argentina,WLD, World,Export,6,0.981,,451.49,
H4,ARG,30487,"-- Tunas (of the genus Thunnus), sk",Argentina,WLD, World,Export,6,0.739,1.263,1.512,1.309
H4,ARG,30489,-- Other,Argentina,WLD, World,Export,6,34325.758,31263.03,27489.568,25738.068
H4,ARG,30492,-- Toothfish (Dissostichus spp.),Argentina,WLD, World,Export,6,350.596,419.147,255.478,520.003
H4,ARG,30495,-- Fish of the families Bregmacerot,Argentina,WLD, World,Export,6,20469.149,19099.781,27948.717,25959.904
